time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2019-09-12,10591.45,9855.34,10165.01,149218.35,1533980013.9,10163.38,direct,
2019-09-19,10368.46,8107.01,10163.38,332107.66,3072171146.84,8446.97,direct,
2019-09-26,8537.6,7736.96,8446.97,304200.83,2481860772.91,8391.52,direct,
2019-10-03,8697.56,7798.09,8391.52,211913.53,1739283889.26,8593.16,direct,
2019-10-10,8834.11,7945.77,8593.16,175537.51,1465016969.47,8014.39,direct,
2019-10-17,8359.52,7336.06,8014.39,199960.46,1591613310.26,7479.54,direct,
2019-10-24,10380.48,7370.13,7479.54,457247.61,4158824116.37,9169.86,direct,
2019-10-31,9578.74,8972.0,9169.86,172808.4,1604059660.91,9347.27,direct,
2019-11-07,9382.63,8576.09,9347.27,158160.91,1406526786.6,8773.82,direct,
2019-11-14,8811.04,8016.54,8773.82,146488.75,1229567408.03,8093.6,direct,
2019-11-21,8133.73,6560.13,8093.6,388822.73,2811164670.9,7531.5,direct,
2019-11-28,7872.17,7110.76,7531.5,215316.75,1606942272.41,7207.78,direct,
2019-12-05,7667.04,7167.13,7207.78,166505.4,1233148056.63,7212.01,direct,
2019-12-12,7442.26,6450.69,7212.01,235542.23,1643377231.52,7294.53,direct,
2019-12-19,7694.65,7057.66,7294.53,185335.62,1353909025.03,7202.72,direct,
2019-12-26,7540.65,7061.61,7202.72,135844.51,989046879.3,7189.94,direct,
2020-01-02,8458.65,6882.62,7189.94,331629.03,2556684068.2,8045.15,direct,
2020-01-09,8890.04,7682.56,8045.15,306425.54,2543311651.26,8813.21,direct,
2020-01-16,9177.39,8479.9,8813.21,211848.81,1857725325.75,8667.26,direct,
2020-01-23,9429.16,8225.83,8667.26,229253.98,2012009891.0,9286.18,direct,
2020-01-30,9750.28,9089.52,9286.18,223154.45,2093074580.94,9611.42,direct,
2020-02-06,10475.43,9533.37,9611.42,260199.34,2596201511.02,10347.93,direct,
2020-02-13,10500.54,9340.17,10347.93,259048.05,2594034513.36,9602.43,direct,
2020-02-20,10019.3,8652.97,9602.43,236714.25,2241595304.88,8793.5,direct,
2020-02-27,8983.78,8443.57,8793.5,214731.34,1876959294.6,8773.78,direct,
2020-03-05,9225.42,7614.48,8773.78,326694.3,2700617711.0,7945.36,direct,
2020-03-12,7984.16,3948.92,7945.36,1227341.21,6667595984.33,5413.06,direct,
2020-03-19,6980.29,5268.33,5413.06,735519.4,4623316879.38,6694.21,direct,
2020-03-26,6876.97,5874.8,6694.21,376406.04,2405316800.8,6663.63,direct,
2020-04-02,7462.51,6585.75,6663.63,419466.79,2948851822.03,7367.37,direct,
2020-04-09,7374.01,6612.34,7367.37,332158.47,2300878953.72,6629.54,direct,
2020-04-16,7304.35,6487.08,6629.54,363083.03,2546039317.76,7135.41,direct,
