time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2019-09-12,215.97,179.44,178.29,19966991.2,3915808799.72,210.38,multiply,BTC
2019-09-19,228.14,162.05,210.38,20641297.61,3987499206.16,170.38,multiply,BTC
2019-09-26,183.77,159.32,170.38,17578973.46,3061369202.47,181.09,multiply,BTC
2019-10-03,197.56,168.7,181.09,13058234.98,2361879639.76,193.43,multiply,BTC
2019-10-10,194.54,174.23,193.43,13274765.09,2428545493.98,174.95,multiply,BTC
2019-10-17,179.33,155.35,174.95,13136388.02,2242028110.64,162.53,multiply,BTC
2019-10-24,194.72,159.9,162.53,21014884.43,3803174656.65,183.31,multiply,BTC
2019-10-31,193.4,179.67,183.31,15288119.35,2839605927.77,191.25,multiply,BTC
2019-11-07,194.85,176.76,191.25,11781668.26,2195542707.77,188.02,multiply,BTC
2019-11-14,185.86,173.77,188.02,11276840.98,2029131115.45,174.66,multiply,BTC
2019-11-21,165.47,140.13,174.66,18771992.83,2820127513.72,153.04,multiply,BTC
2019-11-28,160.13,141.2,153.04,14489265.06,2179425552.71,145.67,multiply,BTC
2019-12-05,153.06,142.65,145.67,14851940.77,2191147662.98,143.37,multiply,BTC
2019-12-12,146.32,121.04,143.37,12485958.51,1686761623.07,133.13,multiply,BTC
2019-12-19,136.44,123.81,133.13,12523848.85,1605514311.01,124.97,multiply,BTC
2019-12-26,135.93,124.4,124.97,14992633.34,1943717011.28,130.57,multiply,BTC
2020-01-02,151.7,125.45,130.57,20377762.07,2807652207.38,140.47,multiply,BTC
2020-01-09,171.33,135.24,140.47,24475586.34,3775850102.06,166.04,multiply,BTC
2020-01-16,179.52,160.62,166.04,22835191.43,3857240047.72,167.97,multiply,BTC
2020-01-23,180.98,158.4,167.97,15813592.52,2661887303.41,173.47,multiply,BTC
2020-01-30,205.78,175.97,173.47,21362450.55,4043141713.58,203.86,multiply,BTC
2020-02-06,276.91,205.65,203.86,25781748.24,6042814976.92,265.94,multiply,BTC
2020-02-13,290.0,241.79,265.94,32313642.19,8730340578.93,258.79,multiply,BTC
2020-02-20,275.58,218.43,258.79,21637339.39,5465148498.49,223.97,multiply,BTC
2020-02-27,234.92,214.93,223.97,30482349.55,6841683076.77,224.87,multiply,BTC
2020-03-05,245.77,190.05,224.87,29048953.02,6226250912.88,194.82,multiply,BTC
2020-03-12,140.36,105.22,194.82,39500482.11,4778352752.55,118.6,multiply,BTC
2020-03-19,142.92,121.17,118.6,18014607.8,2405787515.34,136.23,multiply,BTC
2020-03-26,140.94,122.76,136.23,7984714.19,1061046085.16,136.07,multiply,BTC
2020-04-02,173.28,138.81,136.07,11977581.31,1892475260.69,173.21,multiply,BTC
2020-04-09,172.01,151.55,173.21,9771323.09,1553215736.58,152.94,multiply,BTC
2020-04-16,188.94,163.21,152.94,14044584.5,2479047462.12,183.02,multiply,BTC
2020-04-23,228.15,184.68,183.02,10709961.99,2113043472.41,215.58,multiply,BTC
2020-04-30,216.98,198.81,215.58,10247647.84,2122754540.08,199.08,multiply,BTC
2020-05-07,222.3,179.86,199.08,13936844.7,2784404985.34,199.86,multiply,BTC
2020-05-14,216.63,192.57,199.86,9079527.09,1866052390.04,209.87,multiply,BTC
2020-05-21,211.98,191.63,209.85,6009080.61,1226535587.5,208.3,direct,
2020-05-28,257.73,212.09,208.3,8538310.75,2017206178.48,244.65,multiply,BTC
2020-06-04,250.3,234.97,244.56,2156981.09,523784185.59,248.01,direct,
2020-06-11,250.31,218.29,248.01,3241612.34,756854842.54,233.74,direct,
2020-06-18,249.14,227.02,233.74,4287516.99,1003281706.75,234.56,multiply,BTC
2020-06-25,235.12,218.42,234.56,5281883.16,1198861402.45,231.06,direct,
2020-07-02,248.82,224.76,231.06,10034781.69,2362943074.52,247.02,multiply,BTC
2020-07-09,243.55,236.08,247.02,4137970.09,995902842.2,238.47,multiply,BTC
2020-07-16,267.71,230.11,238.42,3715499.66,904582725.04,264.18,direct,
2020-07-23,359.78,260.56,264.32,7986549.67,2460086638.85,318.14,direct,
2020-07-30,414.95,318.07,318.14,9087226.82,3409474293.75,400.98,multiply,BTC
2020-08-06,403.28,365.09,400.98,4120658.67,1606830309.04,387.19,multiply,BTC
2020-08-13,447.0,377.01,387.19,4787834.33,2020134475.6,407.85,direct,
2020-08-20,419.09,370.38,407.85,4197616.42,1668163310.67,386.02,direct,
2020-08-27,483.63,377.32,385.98,6994059.25,3025065784.55,439.83,multiply,BTC
2020-09-03,450.71,310.93,439.83,6123562.35,2212837609.94,351.15,direct,
2020-09-10,388.14,350.44,351.15,5612864.63,2081649574.56,365.09,direct,
2020-09-17,394.57,314.7,365.09,5345689.92,1987132774.23,320.19,multiply,BTC
2020-09-24,368.15,317.14,320.19,3211220.58,1132528345.95,359.82,direct,
2020-10-01,359.37,333.27,359.82,2882828.49,1004094037.31,341.91,multiply,BTC
